PheCode,Names,Short_names,Category_code,Category,Full_Category
204.22,"Myeloid leukemia, chronic","Myeloid leukemia, chronic",2,neoplasms,neoplasms
286.6,Defibrination syndrome,Defibrination syndrome,4,hematopoietic,diseases of the blood and blood-forming organs
337.1,Peripheral autonomic neuropathy,Peripheral autonomic neuropathy,6,neurological,diseases of the nervous system
370,Keratitis,Keratitis,7,sense organs,diseases of the sense organs
610.4,Benign neoplasm of breast,Benign neoplasm of breast,11,genitourinary,diseases of the genitourinary system
743.1,Osteoporosis,"Osteoporosis, NOS or other",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
870.6,Open wound of neck,Open wound of neck,18,injuries & poisonings,injury and poisoning
287.3,Thrombocytopenia,Thrombocytopenia,4,hematopoietic,diseases of the blood and blood-forming organs
348.7,Coma,Coma,6,neurological,diseases of the nervous system
496.1,Emphysema,Emphysema,9,respiratory,diseases of the respiratory system
594.3,Calculus of ureter,Calculus of ureter,11,genitourinary,diseases of the genitourinary system
705.8,Hyperhidrosis,Hyperhidrosis,13,dermatologic,diseases of the skin and subcutaneous tissue
960.2,Allergy/adverse effect of penicillin,Allergy/adverse effect of penicillin,18,injuries & poisonings,injury and poisoning
327.7,Sleep related movement disorders,Sleep related movement disorders,6,neurological,diseases of the nervous system
363.3,Chorioretinal scars,Chorioretinal scars,7,sense organs,diseases of the sense organs
250.22,Type 2 diabetes with renal manifestations,Type 2 diabetic nephropathy,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
259.4,Precocious sexual development and puberty NEC,Precocious puberty,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
244,Hypothyroidism,Hypothyroidism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
459.9,Circulatory disease NEC,Circulatory disease NEC,8,circulatory system,diseases of the circulatory system
556,Ulceration of the lower GI tract,Ulceration of the lower GI tract,10,digestive,diseases of the digestive system
573.7,Abnormal results of function study of liver,Abnormal results of function study of liver,10,digestive,diseases of the digestive system
714,Rheumatoid arthritis and other inflammatory polyarthropathies,Rheumatoid arthritis & related inflammatory polyarthropathies,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
592.21,Urethral syndrome,Urethral syndrome,11,genitourinary,diseases of the genitourinary system
202.24,Large cell lymphoma,Large cell lymphoma,2,neoplasms,neoplasms
224,Benign neoplasm of eye,Benign neoplasm of eye,2,neoplasms,neoplasms
370.31,Keratoconjunctivitis sicca,Keratoconjunctivitis sicca,7,sense organs,diseases of the sense organs
381.2,Eustachian tube disorders,Eustachian tube disorders,7,sense organs,diseases of the sense organs
473,Diseases of the larynx and vocal cords,Diseases of the larynx and vocal cords,9,respiratory,diseases of the respiratory system
526.9,Jaw disease NOS,Jaw disease NOS,10,digestive,diseases of the digestive system
681.7,Cellulitis and abscess of trunk,Cellulitis and abscess of trunk,13,dermatologic,diseases of the skin and subcutaneous tissue
751.2,Congenital anomalies of urinary system,Congenital anomalies of urinary system,15,congenital anomalies,congenital anomalies
426.7,Abnormal electrocardiogram [ECG] [EKG],Abnormal electrocardiogram,8,circulatory system,diseases of the circulatory system
726.1,Enthesopathy,Enthesopathy,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
727.4,"Ganglion and cyst of synovium, tendon, and bursa","Ganglion & cyst of synovium, tendon, bursa",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
185,Cancer of prostate,Prostate cancer,2,neoplasms,neoplasms
346.2,Nonspecific abnormal results of function study of brain and central nervous system,Abnormal function study of brain & CNS,6,neurological,diseases of the nervous system
507,Pleurisy; pleural effusion,Pleurisy,9,respiratory,diseases of the respiratory system
601.3,Orchitis and epididymitis,Orchitis and epididymitis,11,genitourinary,diseases of the genitourinary system
747,Cardiac and circulatory congenital anomalies,Cardiac & circulatory congenital anomalies,15,congenital anomalies,congenital anomalies
1003,Sudden death,Sudden death,,,
420.2,Pericarditis,Pericarditis,8,circulatory system,diseases of the circulatory system
706.2,Sebaceous cyst,Sebaceous cyst,13,dermatologic,diseases of the skin and subcutaneous tissue
722,Intervertebral disc disorders,Intervertebral disc disorders,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
264.1,Short stature,Short stature,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
795.82,Elevated cancer antigen 125 [CA 125],Elevated CA 125,17,symptoms,"symptoms, signs, and ill-defined conditions"
931,Contact dermatitis and other eczema due to plants [except food],Contact dermatitis and other eczema due to plants [except food],18,injuries & poisonings,injury and poisoning
244.1,Secondary hypothyroidism,Iatrogenic hypothyroidism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
338.2,Chronic pain,Chronic pain,6,neurological,diseases of the nervous system
537,Other disorders of stomach and duodenum,Other disorders of stomach and duodenum,10,digestive,diseases of the digestive system
571.81,Portal hypertension,Portal hypertension,10,digestive,diseases of the digestive system
646,Other complications of pregnancy NEC,Other complications of pregnancy NEC,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
454.1,Varicose veins of lower extremity,Varicose veins of lower extremity,8,circulatory system,diseases of the circulatory system
767,Cervicocranial/Cervicobrachial syndrome,Cervicocranial/Cervicobrachial syndrome,17,symptoms,"symptoms, signs, and ill-defined conditions"
131,Protozoan infection,Protozoan infection,1,infectious diseases,infectious and parasitic diseases
443.7,Peripheral angiopathy in diseases classified elsewhere,Peripheral angiopathy in diseases classified elsewhere,8,circulatory system,diseases of the circulatory system
510.2,Lung transplant,Lung transplant,9,respiratory,diseases of the respiratory system
526.4,Temporomandibular joint disorders,Temporomandibular joint disorders,10,digestive,diseases of the digestive system
771.1,Swelling of limb,Swelling of limb,17,symptoms,"symptoms, signs, and ill-defined conditions"
281.9,Deficiency anemias,Deficiency anemias NOS,4,hematopoietic,diseases of the blood and blood-forming organs
386.21,Central origin vertigo,Central origin vertigo,7,sense organs,diseases of the sense organs
573.1,Chronic passive congestion of liver,Chronic passive congestion of liver,10,digestive,diseases of the digestive system
697,Sarcoidosis,Sarcoidosis,13,dermatologic,diseases of the skin and subcutaneous tissue
701.1,"Keratoderma, acquired","Keratoderma, acquired",13,dermatologic,diseases of the skin and subcutaneous tissue
415.2,Chronic pulmonary heart disease,Primary pulmonary hypertension,8,circulatory system,diseases of the circulatory system
585,Renal failure,Renal failure,11,genitourinary,diseases of the genitourinary system
643.1,Hyperemesis gravidarum,Hyperemesis gravidarum,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
201,Hodgkin's disease,Hodgkin's disease,2,neoplasms,neoplasms
286.8,Hypercoagulable state,Hypercoagulable state,4,hematopoietic,diseases of the blood and blood-forming organs
379.2,Disorders of vitreous body,Disorders of vitreous body,7,sense organs,diseases of the sense organs
411.1,Unstable angina (intermediate coronary syndrome),Unstable angina (intermediate coronary syndrome),8,circulatory system,diseases of the circulatory system
550.6,Incisional hernia,Incisional hernia,10,digestive,diseases of the digestive system
560.3,Peritoneal or intestinal adhesions,Peritoneal or intestinal adhesions,10,digestive,diseases of the digestive system
780,Hypothermia/Chills,Hypothermia/Chills,17,symptoms,"symptoms, signs, and ill-defined conditions"
871.4,Open wound of toe(s),Open wound of toe(s),18,injuries & poisonings,injury and poisoning
165,Cancer within the respiratory system,Cancer within the respiratory system,2,neoplasms,neoplasms
253.2,Pituitary hypofunction,Pituitary hypofunction,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
276.14,Hypopotassemia,Hypopotassemia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
601,Inflammatory diseases of prostate,Inflammatory diseases of prostate,11,genitourinary,diseases of the genitourinary system
334.1,Spinocerebellar disease,Spinocerebellar disease,6,neurological,diseases of the nervous system
389.3,Degenerative and vascular disorders of ear,Degenerative and vascular disorders of ear,7,sense organs,diseases of the sense organs
615,Endometriosis,Endometriosis,11,genitourinary,diseases of the genitourinary system
389.4,Tinnitus,Tinnitus,7,sense organs,diseases of the sense organs
429.1,Heart transplant/surgery,Heart transplant/surgery,8,circulatory system,diseases of the circulatory system
454.11,"Varicose veins of lower extremity, symptomtic","Varicose veins of lower extremity, symptomtic",8,circulatory system,diseases of the circulatory system
540,Appendiceal conditions,Appendiceal conditions,10,digestive,diseases of the digestive system
550,Abdominal hernia,Abdominal hernia,10,digestive,diseases of the digestive system
626.2,Dysmenorrhea,Dysmenorrhea,11,genitourinary,diseases of the genitourinary system
656.9,Neonatal bradycardia or tachycardia,Neonatal bradycardia or tachycardia,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
716.1,Unspecified polyarthropathy or polyarthritis,Unspecified polyarthropathy or polyarthritis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
